title,lot_no,sold_date,price,Country,Region,Distillery status,Type,Age,Size,Delivery weight,Strength,about,awards,has_vat,Bottles Produced
Macallan - 78 Year Old (The Red Collection),LOT #88530,SOLD 29/08/2021,"£63,000.00",Scotland,Speyside,Operational,Single Malt Whisky,78,70cl,6.00kg,42.2%,"The Macallan distillery is a single malt Scotch whisky distillery in Craigellachie, Moray. The Macallan Distillers Ltd, is a wholly owned subsidiary of the Edrington Group which purchased the brand from Highland Distillers in 1999.",,True,
Glendronach - 15 Year Old (Revival) 6x70cl,LOT #87762,SOLD 29/08/2021,£350.00,Scotland,Highlands,Operational,Single Malt Whisky,15,70cl,12.00kg,46%,"Glendronach distillery is a Scottish whisky distillery located near Forgue, by Huntly, Aberdeenshire, in the Highland whisky district. In April 2016 Glendronach Distillery was purchased by the Brown-Forman Corporation. The deal included BenRiach and Glenglassaugh distilleries.
The distillery draws its water from the Dronac burn within the distillery grounds. It has its own floor maltings and two wash stills in addition to two spirit stills.",,True,
Macallan - Edition No.3,LOT #86630,SOLD 29/08/2021,£160.00,Scotland,Speyside,Operational,Single Malt Whisky,,70cl,2.00kg,48.3%,"The Macallan distillery is a single malt Scotch whisky distillery in Craigellachie, Moray. The Macallan Distillers Ltd, is a wholly owned subsidiary of the Edrington Group which purchased the brand from Highland Distillers in 1999.",,False,
Macallan - Gold (1824 Series),LOT #87569,SOLD 29/08/2021,£90.00,Scotland,Speyside,Operational,Single Malt Whisky,,70cl,2.00kg,40%,"The Macallan distillery is a single malt Scotch whisky distillery in Craigellachie, Moray. The Macallan Distillers Ltd, is a wholly owned subsidiary of the Edrington Group which purchased the brand from Highland Distillers in 1999.",,False,
Waterford - Ballykilcavan (Edition 1.1) Single Farm Origin,LOT #87659,SOLD 29/08/2021,£40.00,Ireland,,Operational,Irish Whiskey,,70cl,2.00kg,50%,"The Waterford Distillery is located on the banks of the River Suir, on Ireland’s sunny south-eastern Coast. It is a state-of-the-art facility originally built by Diageo in 2004. The first Spirit dropped from the stills in January 2016.",,False,
Caol Ila - 1990 (Hogshead #0013132) Held In Bond,LOT #79410,SOLD 25/07/2021,"£50,500.00",Scotland,Islay,Operational,Single Malt Whisky,,Cask,2.00kg,,"Caol Ila is derived from Gaelic Caol Ìle for ""Sound of Islay"" in reference to the distillery's location overlooking the strait between Islay and Jura. It was founded in 1846 by Hector Henderson. The distillery did not fare well, and changed hands in 1854 when Norman Buchanan, owner of the Isle of Jura Distillery, took over.
In 1863 the business was acquired by Bulloch Lade & Co, of Glasgow, traders in whisky stocks. According to the 1871 census, Duncan Johnston was the Distillery Manager at the time. Duncan was the nephew of John Johnston of Lagavulin and cousin to the Laphroaig Johnstons and so the family were involved with yet another distillery on the island. By the 1880s over 147,000 gallons of whisky were produced there each year.
Pronunciation : ""kool-eela""",,False,
Glenfarclas - 1996 (Family Cask #24) Winter 2018,LOT #82793,SOLD 25/07/2021,£240.00,Scotland,Speyside,Operational,Single Malt Whisky,,70cl,2.00kg,58.9%,"Glenfarclas is a Speyside whisky distillery in Ballindalloch, Scotland. Glenfarclas translates as meaning ""valley of the green grass"". The distillery is owned and run by the Grant family.  The distillery has six stills which are heated directly by gas burners.
The distillery has a production capacity of around 3.5 million litres of spirit per year. Normally four stills are used for production with two kept in reserve.
The distillery has approximately 68,000 casks maturing on site, in traditional dunnage warehouses, with stock from every year from 1953 to the current year. Glenfarclas produce a traditional Highland malt with a heavy sherry influence.",,True,515
Blanton's - Gold Edition (Bourbon),LOT #84968,SOLD 25/07/2021,£120.00,USA,,Operational,Bourbon Whiskey,,70cl,2.00kg,51.5%,"Buffalo Trace Distillery is a distillery located in Frankfort, Kentucky. It has historically been known by several names, including the George T. Stagg Distillery and the O.F.C. Distillery.  Its namesake bourbon brand, Buffalo Trace Kentucky Straight Bourbon whiskey, was introduced in August 1999. The company claims the distillery is the oldest continuously-operating distillery in the United States.
Located on what the company claims was once an ancient buffalo crossing on the banks of the Kentucky River in Franklin County, the distillery is named after the American bison. The Sazerac Company, an American family-owned producer and importer based in New Orleans, Louisiana, purchased the distillery in 1992 and is now the parent company of Buffalo Trace Distillery.",,True,
Johnnie Walker - 18 Year Old (Gold Label) Centenary Blend (75cl),LOT #83638,SOLD 25/07/2021,£55.00,Scotland,Various,Operational,Blended Whisky,18,75cl,2.00kg,43%,"Johnnie Walker is a brand of Scotch whisky owned by Diageo that originates from the Scottish town of Kilmarnock, a large burgh in East Ayrshire, which is where the brand's creator, John Walker began making and distilling the whisky in the Johhnie Walker Bond located in the town centre. It is the most widely distributed brand of blended Scotch whisky in the world, sold in almost every country, with annual sales of the equivalent of over 226.2 million 750 ml bottles in 2015 (169.2 million litres).",,False,
Macallan - 78 Year Old (The Red Collection),LOT #70872,SOLD 27/06/2021,"£60,000.00",Scotland,Speyside,Operational,Single Malt Whisky,78,70cl,6.00kg,42.2%,"The Macallan distillery is a single malt Scotch whisky distillery in Craigellachie, Moray. The Macallan Distillers Ltd, is a wholly owned subsidiary of the Edrington Group which purchased the brand from Highland Distillers in 1999.",,False,
